description,endTimestamp,fromLat,fromLon,impact,isBothDirections,lightVehicle,networkPointFromLinkName,startTimestamp,status,subtypeCodes,subtypeNames,totalLanes,type
Obras en Monteagudo GCBA,2019-01-04T16:05:20Z,-34.642704010009766,-58.40454864501953,Desconocido,False,0,MONTEAGUDO,2019-01-04T15:43:21Z,Cancelado,2,Obras en calzada,0,Corte NO programado
Obras gcba,2019-01-04T19:20:26Z,-34.642704010009766,-58.40454864501953,Desconocido,False,0,MONTEAGUDO,2019-01-04T18:53:49Z,Terminado,2,Obras en calzada,0,Corte NO programado
Buenos Aires:. En Junín (S) entre  Arenales Y  Avenida Santa Fe,2019-03-25T15:00:02Z,-34.5944709777832,-58.39716720581055,Menor,False,0,JUNIN,2019-01-15T19:44:00Z,Cancelado,,,0,Cierre de carril
Buenos Aires:. En Humahuaca (W) en Humahuaca (W) (1399) ,2019-02-21T11:42:33Z,-34.60256642671732,-58.41592790150694,Ninguno,False,0,BILLINGHURST,2019-01-17T17:29:38Z,Terminado,,,0,Manifestación
Buenos Aires:. En Avenida Raúl Scalabrini Ortiz (W) entre  Padilla Y  Juan Ramírez de Velasco,2019-02-21T11:43:32Z,-34.60128402709961,-58.441097259521484,Severo,False,0,"SCALABRINI ORTIZ, RAUL AV.",2019-01-18T13:44:00Z,Terminado,,,0,Manifestación
Buenos Aires:. En Avenida Hipólito Yrigoyen (E) entre  Sánchez de Loria Y  Maza. Carriles afectados: carril 1 (cerrado),2019-01-18T16:29:55Z,-34.61260986328125,-58.41340255737305,Menor,False,0,"YRIGOYEN, HIPOLITO AV.",2019-01-18T16:05:00Z,Terminado,,,0,Manifestación
Buenos Aires:. Debido a Obras en calzada en Francisco Acuña de Figueroa (S) en  Humahuaca,2019-01-19T16:14:00Z,-34.601741790771484,-58.42237854003906,Desconocido,False,0,HUMAHUACA,2019-01-18T16:14:00Z,Cancelado,1,Obras en calzada,0,Corte programado
Buenos Aires:. Debido a Obras en calzada y Manifestación en Mario Bravo (N) en  Bartolomé Mitre,2019-03-25T15:02:09Z,-34.60954284667969,-58.41740036010742,Menor,False,0,"MITRE, BARTOLOME",2019-01-18T16:37:00Z,Cancelado,"4,2","Manifestación,Obras en calzada",0,Corte NO programado
Buenos Aires:. Debido a Accidente en Adolfo Alsina (W) en  Catamarca,2019-03-22T12:52:49Z,-34.61251449584961,-58.406925201416016,Menor,False,0,CATAMARCA,2019-01-18T16:43:00Z,Cancelado,8,Accidente,0,Accidente
Obras en calzada ,2019-01-21T18:14:51Z,-34.63519687382611,-58.358973498278175,Menor,False,0,"BROWN, ALTE. AV.",2019-01-21T12:05:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
CORTE POR PODA,2019-01-21T18:12:30Z,-34.62664955696521,-58.36210500863508,Menor,False,0,"GALVEZ, MANUEL",2019-01-21T13:54:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
CORTE POR PODA,2019-01-21T14:47:08Z,-34.63300965184305,-58.51910992436948,Menor,False,0,"JUSTO, JUAN B. AV.",2019-01-21T13:58:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
CORTE POR PODA,2019-01-21T18:04:11Z,-34.54308641186856,-58.47291774205007,Menor,False,0,CABILDO AV.,2019-01-21T14:01:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
Buenos Aires:. Debido a Riesgo en calzada en Villarino (W) en  Perdriel,2019-01-21T15:15:35Z,-34.6553840637207,-58.38380432128906,Ninguno,False,0,PERDRIEL,2019-01-21T14:50:22Z,Cancelado,7,Riesgo en calzada,0,Corte NO programado
Buenos Aires:. Debido a Accidente en Santo Domingo (E1) en  Lafayette,2019-01-21T15:35:08Z,-34.65394973754883,-58.39045333862305,Menor,False,0,SANTO DOMINGO,2019-01-21T15:23:18Z,Cancelado,8,Accidente,0,Accidente
